Drug	Target_Name	UniProt_ID	Target_Org	PubMedIDs
7n-Methyl-8-Hydroguanosine-5'-Triphosphate	Cap-specific mRNA (nucleoside-2'-O-)-methyltransferase	P07617	VACV	17016423|17139284
M-(N,N,N-Trimethylammonio)-2,2,2-Trifluoro-1,1-Dihydroxyethylbenzene	Acetylcholinesterase	P22303	Human	17016423|10592235|17139284
N-Acetylproline	(5R)-carbapenem-3-carboxylate synthase	Q9XB59	Pectobacterium carotovorum subsp. carotovorum	
2-{(9as)-9a-[(1s)-1-Hydroxyethyl]-2,7-Dimethyl-9a,10-Dihydro-5h-Pyrimido[4,5-D][1,3]Thiazolo[3,2-a]Pyrimidin-8-Yl}Ethyl Trihydrogen Diphosphate	Acetolactate synthase, catabolic	P27696	Klebsiella pneumoniae	17016423|17139284
N-Carbamyl-D-Methionine	N-carbamoyl-D-amino acid hydrolase	P60327	Agrobacterium sp. (strain KNK712)	17016423|17139284
4-[3-Hydroxyanilino]-6,7-Dimethoxyquinazoline	Cyclin-dependent kinase 2	P24941	Human	17016423|10592235|17139284
PF-00356231	Macrophage metalloelastase	P39900	Human	17016423|10592235|17139284
5-Methyl-5-(4-Phenoxy-Phenyl)-Pyrimidine-2,4,6-Trione	Stromelysin-1	P08254	Human	17016423|10592235|17139284
9-Aminophenanthrene	6-deoxyerythronolide B hydroxylase	Q00441	Saccharopolyspora erythraea (strain NRRL 23338)	17016423|10592235|17139284
FR239087	Adenosine deaminase	P00813	Human	10592235
Modified Ribosylated Glutamyl Ester	Nucleoside deoxyribosyltransferase-I	Q8RLY5	Lactobacillus helveticus	
3-Mercapto-1-(1,3,4,9-Tetrahydro-B-Carbolin-2-Yl)-Propan-1-One	Interleukin-2	P60568	Human	10592235
ZK-806711	Trypsin-1	P07477	Human	17016423|10592235|17139284
3,5-Diiodotyrosine	cAMP-dependent protein kinase inhibitor alpha	P61925	Human	10592235
3,5-Diiodotyrosine	cAMP-dependent protein kinase catalytic subunit alpha	P17612	Human	10592235
3,5-Diiodotyrosine	Alpha-amylase G-6	Q9KFR4	Bacillus halodurans (strain ATCC BAA-125 / DSM 18197 / FERM 7344 / JCM 9153 / C-125)	10592235
3,5-Diiodotyrosine	Trypsin-1	P07477	Human	10592235
3,5-Diiodotyrosine	Nickel-binding periplasmic protein	P33590	Escherichia coli (strain K12)	10592235
3,5-Diiodotyrosine	Iodotyrosine dehalogenase 1	Q6PHW0	Human	10592235
'5'-O-(N-(L-Alanyl)-Sulfamoyl)Adenosine	Bifunctional glutamate/proline--tRNA ligase	P07814	Human	17016423|10592235|17139284
2-Carboxyethylphosphonic Acid	Triosephosphate isomerase	P60174	Human	17016423|10592235|17139284
L-Tyrosinamide	Pro-neuropeptide Y	P01303	Human	10592235
L-Tyrosinamide	Valacyclovir hydrolase	Q86WA6	Human	10592235
Hexadecanal	Rhodopsin	P08100	Human	17016423|10592235|17139284
Hexadecanal	Acyl-CoA-binding protein	P07108	Human	17016423|10592235|17139284
S-Oxy Cysteine	Aspartate 1-decarboxylase	P0A793	Shigella flexneri	17016423|17139284
S-Oxy Cysteine	Prolyl endopeptidase	P48147	Human	17016423|10592235|17139284
S-Oxy Cysteine	Exopolyphosphatase	O67040	Aquifex aeolicus (strain VF5)	
S-Oxy Cysteine	Conserved protein	O53240	Mycobacterium tuberculosis	
S-Oxy Cysteine	Probable thiol peroxidase	P66952	Mycobacterium tuberculosis	
S-Oxy Cysteine	Superoxide dismutase [Cu-Zn]	P00441	Human	10592235
S-Oxy Cysteine	NADH peroxidase	P37062	Enterococcus faecalis (strain ATCC 700802 / V583)	
5-Chloro-1h-Indole-2-Carboxylic Acid [1-(4-Fluorobenzyl)-2-(4-Hydroxypiperidin-1yl)-2-Oxoethyl]Amide	Glycogen phosphorylase, muscle form	P11217	Human	10592235
Fica	Caspase-7	P55210	Human	17016423|10592235|17139284
4-Methylimidazole	Carbonic anhydrase 2	P00918	Human	17016423|17139284
4-Methylimidazole	Myoglobin	P02144	Human	17016423|10592235|17139284
4-Methylimidazole	Carbonic anhydrase 5A, mitochondrial	P35218	Human	17016423|10592235|17139284
3-[(2,4-Dichlorobenzoyl)(Isopropyl)Amino]-5-Phenylthiophene-2-Carboxylic Acid	Genome polyprotein	P26660	HCV	17016423|17139284
alpha-D-Xylopyranose	Chondroitinase-B	Q46079	Pedobacter heparinus (strain ATCC 13125 / DSM 2366 / NCIB 9290)	17016423|17139284
alpha-D-Xylopyranose	Chondroitinase-AC	Q59288	Pedobacter heparinus (strain ATCC 13125 / DSM 2366 / NCIB 9290)	17016423|17139284
alpha-D-Xylopyranose	Exoglucanase/xylanase	P07986	Cellulomonas fimi	17016423|17139284
alpha-D-Xylopyranose	Aldose 1-epimerase	Q9ZB17	Lactococcus lactis	
alpha-D-Xylopyranose	Endo-beta-1,4-xylanase	Q59675	Cellvibrio japonicus	
alpha-D-Xylopyranose	Reducing end xylose-releasing exo-oligoxylanase	Q9KB30	Bacillus halodurans (strain ATCC BAA-125 / DSM 18197 / FERM 7344 / JCM 9153 / C-125)	
alpha-D-Xylopyranose	Endo-1,4-beta-xylanase	P40943	Geobacillus stearothermophilus	
alpha-D-Xylopyranose	Endo-1,4-beta-xylanase	Q7SIE2	Bacillus agaradhaerens	
alpha-D-Xylopyranose	Endo-1,4-beta-xylanase A	Q8GJ44	Clostridium stercorarium	
alpha-D-Xylopyranose	Endo-1,4-beta-xylanase A	P26514	Streptomyces lividans	
alpha-D-Xylopyranose	Endo-1,4-beta-xylanase	P09850	Bacillus circulans	
alpha-D-Xylopyranose	Hydrolase	Q7SI98	Streptomyces olivaceoviridis	
alpha-D-Xylopyranose	Endo-1,4-beta-xylanase	Q8RJN8	Pseudoalteromonas haloplanktis	
alpha-D-Xylopyranose	Lactase-phlorizin hydrolase	P09848	Human	10592235
alpha-D-Xylopyranose	Endoxylanase	O68541	Cellvibrio mixtus	
alpha-D-Xylopyranose	Beta-amylase	P36924	Bacillus cereus	17016423|17139284
N-Propyl-Tartramic Acid	Prostatic acid phosphatase	P15309	Human	17016423|17139284
(3,4,5-Trihydroxy-6-Hydroxymethyl-Tetrahydro-Pyran-2-Yl)-Phosphoramidic Acid Dimethyl Ester	Glycogen phosphorylase, muscle form	P11217	Human	17016423|10592235|17139284
(3s,6s,9r,10r,11s,12s,13e,15e,18s,21s)-18-{(1e,3e,7s,8s)-9-[(2s,3r,4s,5s,6r,9s,11s)-9-Ethyl-4-Hydroxy-3,5,11-Trimethyl-8-Oxo-1-Oxa-7-Azaspiro[5.5]Undec-2-Yl]-8-Hydroxy-1,7-Dimethylnona-1,3-Dienyl}-10,12-Dihydroxy-3-(3-Hydroxybenzyl)-6-Isopropyl-11-Methyl-	Peptidyl-prolyl cis-trans isomerase A	P62937	Human	17016423|10592235|17139284
Enalkiren	Renin	P00797	Human	1705633|11752352
(E)-(2r,3r,4s,5r)-3,4,5-Trihydroxy-2-Methoxy-8,8-Dimethyl-Non-6-Enoic Acid ((3s,6r)-6-Hydroxy-2-Oxo-Azepan-3-Yl)-Amide	Methionine aminopeptidase 2	P50579	Human	17016423|17139284
Uridine-Diphosphate-N-Acetylglucosamine	Bifunctional protein GlmU	P0ACC7	Escherichia coli (strain K12)	17016423|17139284
Uridine-Diphosphate-N-Acetylglucosamine	UDP-N-acetylhexosamine pyrophosphorylase	Q16222	Human	17016423|17139284
Uridine-Diphosphate-N-Acetylglucosamine	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	P0A751	Shigella flexneri	17016423|17139284
Uridine-Diphosphate-N-Acetylglucosamine	UDP-glucose 4-epimerase	Q14376	Human	17016423|17139284
Uridine-Diphosphate-N-Acetylglucosamine	Bifunctional protein GlmU	Q97R46	Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4)	
Uridine-Diphosphate-N-Acetylglucosamine	UDP-glucose 4-epimerase	P09147	Escherichia coli (strain K12)	17016423|17139284
Uridine-Diphosphate-N-Acetylglucosamine	Exostosin-like 2	Q9UBQ6	Human	17016423|10592235|17139284
Uridine-Diphosphate-N-Acetylglucosamine	Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase	P26572	Human	17016423|10592235|17139284
Ethyl Isocyanide	Myoglobin	P02144	Human	17016423|10592235|17139284
3-(P-Tolyl)Propionic Acid	Aromatic-amino-acid aminotransferase	P95468	Paracoccus denitrificans	17016423|10592235|17139284
D-Myo-Inositol-1,4,5-Triphosphate	Cytohesin-2	Q99418	Human	17016423|10592235|17139284
D-Myo-Inositol-1,4,5-Triphosphate	Epsin-1	Q9Y6I3	Human	17016423|10592235|17139284
D-Myo-Inositol-1,4,5-Triphosphate	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-1	P51178	Human	17016423|10592235|17139284
D-Myo-Inositol-1,4,5-Triphosphate	Radixin	P35241	Human	17016423|10592235|17139284
D-Myo-Inositol-1,4,5-Triphosphate	Spectrin beta chain, non-erythrocytic 1	Q01082	Human	17016423|10592235|17139284
D-Myo-Inositol-1,4,5-Triphosphate	Inositol 1,4,5-trisphosphate receptor type 1	Q14643	Human	17016423|10592235|17139284
D-Myo-Inositol-1,4,5-Triphosphate	Inositol-trisphosphate 3-kinase A	P23677	Human	17016423|17139284
Cytidine-5'-Monophosphate	Bifunctional enzyme IspD/IspF	Q9PM68	Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)	17016423|17139284
Cytidine-5'-Monophosphate	UMP-CMP kinase	P30085	Human	17016423|10592235|17139284
Cytidine-5'-Monophosphate	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	Q8RQP5	Thermus thermophilus (strain HB8 / ATCC 27634 / DSM 579)	17016423|17139284
Cytidine-5'-Monophosphate	Cytidylate kinase	P0A6I0	Escherichia coli (strain K12)	17016423|17139284
Cytidine-5'-Monophosphate	Uridine-cytidine kinase 2	Q9BZX2	Human	17016423|17139284
Cytidine-5'-Monophosphate	3-deoxy-manno-octulosonate cytidylyltransferase	P42216	Escherichia coli	17016423|17139284
Cytidine-5'-Monophosphate	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	P62619	Shigella flexneri	17016423|17139284
Cytidine-5'-Monophosphate	Alpha-2,3-/2,8-sialyltransferase	Q9LAK3	Campylobacter jejuni	
Cytidine-5'-Monophosphate	Coenzyme A biosynthesis bifunctional protein CoaBC	P0ABQ0	Escherichia coli (strain K12)	17016423|17139284
1-[N[(Phenylmethoxy)Carbonyl]-L-Leucyl-4-[[N/N-[(Phenylmethoxy)Carbonyl]-/Nl-Leucyl]Amino]-3-Pyrrolidinone/N	Cathepsin K	P43235	Human	17016423|10592235|17139284
gamma-Glutamylcysteine	Glutathione synthetase	P48637	Human	17016423|10592235|17139284
4-hydroxycoumarin	Major NAD(P)H-flavin oxidoreductase	P46072	Vibrio fischeri	17016423|17139284
2-Hydroxymethyl-Pyrrolidine-3,4-Diol	Purine nucleoside phosphorylase	P0A538	Mycobacterium tuberculosis	17016423|17139284
6-Hydroxy-L-Norleucine	L-asparaginase	P06608	Erwinia chrysanthemi	17016423|17139284
Deoxyuridine-5'-Diphosphate	Deoxyuridine 5'-triphosphate nucleotidohydrolase, mitochondrial	P33316	Human	17016423|17139284
Deoxyuridine-5'-Diphosphate	Deoxyuridine 5'-triphosphate nucleotidohydrolase	P06968	Escherichia coli (strain K12)	17016423|17139284
Deoxyuridine-5'-Diphosphate	Deoxyuridine 5'-triphosphate nucleotidohydrolase	P0A552	Mycobacterium tuberculosis	17016423|17139284
Deoxyuridine-5'-Diphosphate	Deoxyuridine triphosphatase	O15923	Trypanosoma cruzi	
Deoxyuridine-5'-Diphosphate	Pol polyprotein	P03371	EIAV	
5-Thio-a/B-D-Mannopyranosylamine	Alpha-mannosidase 2	Q16706	Human	17016423|10592235|17139284
3-Thiaoctanoyl-Coenzyme A	Medium-chain specific acyl-CoA dehydrogenase, mitochondrial	P11310	Human	17016423|10592235|17139284
Thiamin Phosphate	Thiamine-phosphate synthase	P39594	Bacillus subtilis (strain 168)	17016423|17139284
1-(4-Tert-Butylcarbamoyl-Piperazine-1-Carbonyl)-3-(3-Guanidino-Propyl)-4-Oxo-Azetidine-2-Carboxylic Acid	Trypsin-1	P07477	Human	17016423|10592235|17139284
Uracil	Ribosomal small subunit pseudouridine synthase A	P0AA43	Escherichia coli (strain K12)	17016423|17139284
Uracil	Uracil-DNA glycosylase	P10186	HHV-1	17016423|17139284
Uracil	Uracil-DNA glycosylase	Q8X444	Escherichia coli O157:H7	17016423|17139284
Uracil	Dihydropyrimidine dehydrogenase [NADP(+)]	Q12882	Human	17016423|10592235|17139284
Uracil	Uridine-cytidine kinase-like 1	Q9NWZ5	Human	17016423|10592235|17139284
Uracil	Uracil-DNA glycosylase	Q7WYV4	Thermus thermophilus	
Uracil	Pyrimidine-nucleoside phosphorylase	P77836	Geobacillus stearothermophilus	
2,4-Deoxy-4-Guanidino-5-N-Acetyl-Neuraminic Acid	Neuraminidase	P03472	Influenza A virus (strain A/Tern/Australia/G70C/1975 H11N9)	17016423|17139284
2-Phenethyl-2,3-Dihydro-Phthalazine-1,4-Dione	Heat-labile enterotoxin B chain	P32890	Escherichia coli	17016423|10592235|17139284
S-Adenosyl-L-Homoselenocysteine	tRNA (cmo5U34)-methyltransferase	P43985	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	17016423|17139284
Ubenimex	Leukotriene A-4 hydrolase	P09960	Human	17016423|17139284
Ubenimex	Bacterial leucyl aminopeptidase	Q01693	Vibrio proteolyticus	17016423|14600253|8639691|17139284
2s,4r-4-Methylglutamate	Glutamate receptor ionotropic, kainate 2	Q13002	Human	17016423|10592235|17139284
SU9516	Cyclin-dependent kinase 5	Q00535	Human	11752352
SU9516	Cyclin-dependent kinase 1	P06493	Human	11752352
SU9516	Cyclin-dependent kinase 2	P24941	Human	17016423|10592235|17139284|11752352
Cardiolipin	ADP/ATP translocase 1	P12235	Human	17016423|10592235|17139284
(2s)-Hydroxy(4-Hydroxyphenyl)Ethanenitrile	Lactase-like protein	Q6UWM7	Human	17016423|10592235|17139284
{3-[(3-Hydroxy-2-Methyl-5-Phosphonooxymethyl-Pyridin-4-Ylmethyl)-Amino]-2-Methyl-Propyl}-Phosphonic Acid	Threonine-phosphate decarboxylase	P97084	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	17016423|17139284
3[N-Morpholino]Propane Sulfonic Acid	Alpha-xylosidase	P31434	Escherichia coli (strain K12)	17016423|17139284
3[N-Morpholino]Propane Sulfonic Acid	Granulysin	P22749	Human	17016423|17139284
3[N-Morpholino]Propane Sulfonic Acid	Phosphoribosylglycinamide formyltransferase 2	P33221	Escherichia coli (strain K12)	17016423|17139284
Uridine-5'-Diphosphate	Exostosin-like 2	Q9UBQ6	Human	17016423|10592235|17139284
Uridine-5'-Diphosphate	Glycosyltransferase 6 domain-containing protein 1	Q7Z4J2	Human	17016423|10592235|17139284
Uridine-5'-Diphosphate	Spore coat polysaccharide biosynthesis protein SpsA	P39621	Bacillus subtilis (strain 168)	17016423|17139284
Uridine-5'-Diphosphate	UMP-CMP kinase	P30085	Human	17016423|10592235|17139284
Uridine-5'-Diphosphate	DNA beta-glucosyltransferase	P04547	Enterobacteria phage T4	17016423|17139284
Uridine-5'-Diphosphate	UDP-glucose 4-epimerase	P09147	Escherichia coli (strain K12)	17016423|17139284
Uridine-5'-Diphosphate	Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 3	O94766	Human	17016423|17139284
Uridine-5'-Diphosphate	UDP-N-acetylglucosamine 2-epimerase	P27828	Escherichia coli (strain K12)	17016423|17139284
Uridine-5'-Diphosphate	Histo-blood group ABO system transferase	P16442	Human	17016423|17139284
Uridine-5'-Diphosphate	Galactose-1-phosphate uridylyltransferase	P09148	Escherichia coli (strain K12)	17016423|17139284
Uridine-5'-Diphosphate	Pol polyprotein	P16088	FIV	17016423|17139284
Uridine-5'-Diphosphate	Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 1	Q9P2W7	Human	17016423|17139284
Uridine-5'-Diphosphate	Alpha,alpha-trehalose-phosphate synthase [UDP-forming]	P31677	Escherichia coli (strain K12)	17016423|17139284
Uridine-5'-Diphosphate	UDP-galactose 4-epimerase	Q8T8E9	Trypanosoma brucei	
Uridine-5'-Diphosphate	Glycogenin-1	P46976	Human	10592235
Gallichrome	Iron(3+)-hydroxamate-binding protein FhuD	P07822	Escherichia coli (strain K12)	17016423|10742172|17139284
2-{1-[2-(2-Amino-Thiazol-4-Yl)-2-Methoxyimino-Acetylamino]-2-Oxo-Ethyl}-5,5-Dimethyl-Thiazolidine-4-Carboxylic Acid	Beta-lactamase	P00811	Escherichia coli (strain K12)	17016423|17139284
4,6-Dideoxy-4-Amino-Alpha-D-Glucose	Alpha-amylase 1	P04745	Human	17016423|17139284
4,6-Dideoxy-4-Amino-Alpha-D-Glucose	Pancreatic alpha-amylase	P04746	Human	
N-Hexadecanoylglycine	Bifunctional P-450/NADPH-P450 reductase	P14779	Bacillus megaterium	17016423|10592235|17139284
2-Benzyl-3-Iodopropanoic Acid	Carboxypeptidase A1	P15085	Human	10592235
2-[5-Hydroxy-3-Methyl-1-(2-Methyl-4-Sulfo-Phenyl)-1h-Pyrazol-4-Ylazo]-4-Sulfo-Benzoic Acid	Bifunctional purine biosynthesis protein PURH	P31939	Human	17016423|10592235|17139284
Bis(5-Amidino-Benzimidazolyl)Methanone Zinc	Trypsin-1	P07477	Human	17016423|10592235|17139284
(3e)-6'-Bromo-2,3'-Biindole-2',3(1h,1'h)-Dione 3-Oxime	Glycogen synthase kinase-3 beta	P49841	Human	10592235
Tazobactam Trans-Enamine Intermediate	Beta-lactamase SHV-1	P0AD63	Escherichia coli	17016423|17139284
3-Benzylaminocarbonylphenyl-Alpha-D-Galactoside	Heat-labile enterotoxin B chain	P32890	Escherichia coli	17016423|10592235|17139284
Uridylyl-2'-5'-Phospho-Adenosine	Ribonuclease pancreatic	P07998	Human	17016423|10592235|17139284
2'-Deoxyuridine 3'-Monophosphate	Ribonuclease 4	P34096	Human	17016423|17139284
2'-Deoxyuridine 3'-Monophosphate	Ribonuclease pancreatic	P07998	Human	17016423|10592235|17139284
N-(4-(2-((3-Chlorophenylmethyl)Amino)Ethyl)Phenyl)-2-Thiophecarboxamidine	Nitric oxide synthase, inducible	P35228	Human	10592235
N-(4-(2-((3-Chlorophenylmethyl)Amino)Ethyl)Phenyl)-2-Thiophecarboxamidine	Nitric oxide synthase, brain	P29475	Human	10592235
Cephalothin Group	Beta-lactamase Toho-1	Q47066	Escherichia coli	17016423|10592235|17139284
Cephalothin Group	D-alanyl-D-alanine carboxypeptidase	P15555	Streptomyces sp. (strain R61)	10592235
1-alpha, 25-dihydroxyl-20-epi-22-oxa-24, 26 ,27-trihomovitamin D3	Vitamin D3 receptor	P11473	Human	17016423|17139284
3-Trimethylsilylsuccinic Acid	Fumarate hydratase class II	P05042	Escherichia coli (strain K12)	17016423|17139284
(R)—N[2-[1-(aminoiminomethyl)-3-piperidinyl]-1-oxoethyl]-4-(phenylethynyl)-l-phenylalanine methylester	Interleukin-2	P60568	Human	17016423|10592235|17139284
3-methyl-benzene-1,2-diol	Biphenyl-2,3-diol 1,2-dioxygenase	P47228	Burkholderia xenovorans (strain LB400)	17016423|17139284
(1H-indol-3-yl)-(2-mercapto-ethoxyimino)-acetic acid	Interleukin-2	P60568	Human	10592235
N2-[(benzyloxy)carbonyl]-n1-[(3S)-1-cyanopyrrolidin-3-yl]-l-leucinamide	Cathepsin K	P43235	Human	10592235
Sparfosic acid	Aspartate carbamoyltransferase catalytic chain	P0A789	Shigella flexneri	17016423|17139284
Sparfosic acid	CAD protein	P27708	Human	17016423|10592235|17139284
2'-Monophosphoadenosine 5'-Diphosphoribose	Alcohol dehydrogenase 1B	P00325	Human	17016423|10592235|17139284
2'-Monophosphoadenosine 5'-Diphosphoribose	NADPH--cytochrome P450 reductase	P16435	Human	17016423|10592235|17139284
2'-Monophosphoadenosine 5'-Diphosphoribose	Shikimate dehydrogenase	P15770	Escherichia coli (strain K12)	17016423|17139284
2'-Monophosphoadenosine 5'-Diphosphoribose	NADP-dependent isopropanol dehydrogenase	P14941	Thermoanaerobacter brockii	17016423|17139284
2'-Monophosphoadenosine 5'-Diphosphoribose	GDP-L-fucose synthase	P32055	Escherichia coli (strain K12)	17016423|17139284
2'-Monophosphoadenosine 5'-Diphosphoribose	Aspartate-semialdehyde dehydrogenase	P44801	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	17016423|17139284
2'-Monophosphoadenosine 5'-Diphosphoribose	2,4-dienoyl-CoA reductase [NADPH]	P42593	Escherichia coli (strain K12)	17016423|17139284
2'-Monophosphoadenosine 5'-Diphosphoribose	NADP-dependent malic enzyme	P48163	Human	17016423|10592235|17139284
2'-Monophosphoadenosine 5'-Diphosphoribose	NAD(P) transhydrogenase subunit beta	P0C188	Rhodospirillum rubrum	17016423|17139284
2'-Monophosphoadenosine 5'-Diphosphoribose	3-oxoacyl-[acyl-carrier-protein] reductase FabG	P0AEK2	Escherichia coli (strain K12)	17016423|17139284
2'-Monophosphoadenosine 5'-Diphosphoribose	Isocitrate dehydrogenase [NADP]	P08200	Escherichia coli (strain K12)	17016423|17139284
2'-Monophosphoadenosine 5'-Diphosphoribose	Aldose reductase	P15121	Human	17016423|10592235|17139284
2'-Monophosphoadenosine 5'-Diphosphoribose	Glucose-6-phosphate 1-dehydrogenase	P11411	Leuconostoc mesenteroides	17016423|17139284
2'-Monophosphoadenosine 5'-Diphosphoribose	Aldo-keto reductase family 1 member C2	P52895	Human	17016423|17139284
2'-Monophosphoadenosine 5'-Diphosphoribose	Estradiol 17-beta-dehydrogenase 1	P14061	Human	17016423|17139284
2'-Monophosphoadenosine 5'-Diphosphoribose	NAD(P) transhydrogenase, mitochondrial	Q13423	Human	17016423|10592235|17139284
2'-Monophosphoadenosine 5'-Diphosphoribose	Corticosteroid 11-beta-dehydrogenase isozyme 1	P28845	Human	17016423|17139284
2'-Monophosphoadenosine 5'-Diphosphoribose	Sepiapterin reductase	P35270	Human	17016423|10592235|17139284
2'-Monophosphoadenosine 5'-Diphosphoribose	Pteridine reductase 1	Q01782	Leishmania major	17016423|17139284
2'-Monophosphoadenosine 5'-Diphosphoribose	L-xylulose reductase	Q7Z4W1	Human	17016423|10592235|17139284
2'-Monophosphoadenosine 5'-Diphosphoribose	Isocitrate dehydrogenase [NADP] cytoplasmic	O75874	Human	17016423|17139284
2'-Monophosphoadenosine 5'-Diphosphoribose	Dihydrofolate reductase	P0ABQ4	Escherichia coli (strain K12)	17016423|17139284
2'-Monophosphoadenosine 5'-Diphosphoribose	Aldo-keto reductase family 1 member C1	Q04828	Human	17016423|10592235|17139284
2'-Monophosphoadenosine 5'-Diphosphoribose	Nitric oxide synthase, brain	P29475	Human	17016423|10592235|17139284
2'-Monophosphoadenosine 5'-Diphosphoribose	Glucose-6-phosphate 1-dehydrogenase	P11413	Human	17016423|17139284
2'-Monophosphoadenosine 5'-Diphosphoribose	Dihydrofolate reductase	P00374	Human	17016423|17139284
2'-Monophosphoadenosine 5'-Diphosphoribose	ADP-L-glycero-D-manno-heptose-6-epimerase	P67910	Escherichia coli (strain K12)	17016423|17139284
2'-Monophosphoadenosine 5'-Diphosphoribose	C-1-tetrahydrofolate synthase, cytoplasmic	P11586	Human	17016423|17139284
2'-Monophosphoadenosine 5'-Diphosphoribose	Aldo-keto reductase family 1 member C3	P42330	Human	17016423|10592235|17139284
2'-Monophosphoadenosine 5'-Diphosphoribose	Flavin reductase (NADPH)	P30043	Human	17016423|17139284
2'-Monophosphoadenosine 5'-Diphosphoribose	Isocitrate dehydrogenase [NADP]	P16100	Azotobacter vinelandii	17016423|17139284
2'-Monophosphoadenosine 5'-Diphosphoribose	Dihydrofolate reductase	P16184	Pneumocystis carinii	17016423|17139284
2'-Monophosphoadenosine 5'-Diphosphoribose	Quinone oxidoreductase	Q08257	Human	17016423|17139284
2'-Monophosphoadenosine 5'-Diphosphoribose	Dehydrogenase/reductase SDR family member 11	Q6UWP2	Human	
2'-Monophosphoadenosine 5'-Diphosphoribose	3-hydroxy-3-methylglutaryl-coenzyme A reductase	P04035	Human	17016423|17139284
2'-Monophosphoadenosine 5'-Diphosphoribose	Malate dehydrogenase, cytoplasmic	P40925	Human	10592235
2'-Monophosphoadenosine 5'-Diphosphoribose	Oxidoreductase YdhF	P76187	Escherichia coli (strain K12)	
2'-Monophosphoadenosine 5'-Diphosphoribose	Putative pteridine reductase 2	Q8I814	Trypanosoma cruzi	
2'-Monophosphoadenosine 5'-Diphosphoribose	Estradiol 17-beta-dehydrogenase 8	Q92506	Human	10592235
2'-Monophosphoadenosine 5'-Diphosphoribose	Alcohol dehydrogenase [NADP(+)]	P14550	Human	10592235
2'-Monophosphoadenosine 5'-Diphosphoribose	Putative ketoacyl reductase	P16544	Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145)	
2'-Monophosphoadenosine 5'-Diphosphoribose	2,4-dienoyl-CoA reductase, mitochondrial	Q16698	Human	
2'-Monophosphoadenosine 5'-Diphosphoribose	Oxidoreductase, short chain dehydrogenase/reductase family	Q9WYS2	Thermotoga maritima (strain ATCC 43589 / MSB8 / DSM 3109 / JCM 10099)	
2'-Monophosphoadenosine 5'-Diphosphoribose	Prostaglandin F synthase	Q9GV41	Trypanosoma brucei brucei	
2'-Monophosphoadenosine 5'-Diphosphoribose	General stress protein 69	P80874	Bacillus subtilis (strain 168)	
2'-Monophosphoadenosine 5'-Diphosphoribose	Ferredoxin--NADP reductase	P21890	Anabaena sp. (strain PCC 7119)	
2'-Monophosphoadenosine 5'-Diphosphoribose	Bifunctional protein MdtA	P55818	Methylobacterium extorquens (strain ATCC 14718 / DSM 1338 / AM1)	
2'-Monophosphoadenosine 5'-Diphosphoribose	Alcohol dehydrogenase	Q9X022	Thermotoga maritima (strain ATCC 43589 / MSB8 / DSM 3109 / JCM 10099)	
2'-Monophosphoadenosine 5'-Diphosphoribose	NADPH:adrenodoxin oxidoreductase, mitochondrial	P22570	Human	10592235
2'-Monophosphoadenosine 5'-Diphosphoribose	Ferredoxin--NADP reductase	P58558	Nostoc sp. (strain PCC 7120 / UTEX 2576)	
2'-Monophosphoadenosine 5'-Diphosphoribose	2,5-diketo-D-gluconic acid reductase A	P06632	Corynebacterium sp. (strain ATCC 31090)	
2'-Monophosphoadenosine 5'-Diphosphoribose	Protein IolS	P46336	Bacillus subtilis (strain 168)	
2'-Monophosphoadenosine 5'-Diphosphoribose	NADP-dependent glyceraldehyde-3-phosphate dehydrogenase	Q59931	Streptococcus mutans serotype c (strain ATCC 700610 / UA159)	
2'-Monophosphoadenosine 5'-Diphosphoribose	Prostaglandin reductase 1	Q14914	Human	10592235
2'-Monophosphoadenosine 5'-Diphosphoribose	Sulfite reductase [NADPH] flavoprotein alpha-component	P38038	Escherichia coli (strain K12)	
2'-Monophosphoadenosine 5'-Diphosphoribose	Aldo-keto reductase family 1 member B10	O60218	Human	10592235
2'-Monophosphoadenosine 5'-Diphosphoribose	Alcohol dehydrogenase (NADP(+))	Q9WZS7	Thermotoga maritima (strain ATCC 43589 / MSB8 / DSM 3109 / JCM 10099)	
2'-Monophosphoadenosine 5'-Diphosphoribose	NADP-dependent fatty aldehyde dehydrogenase	Q56694	Vibrio harveyi	
2'-Monophosphoadenosine 5'-Diphosphoribose	Putative dehydrogenase/reductase SDR family member 4-like 2	P0CG22	Human	10592235
2'-Monophosphoadenosine 5'-Diphosphoribose	Aldehyde reductase	Q9X0A2	Thermotoga maritima (strain ATCC 43589 / MSB8 / DSM 3109 / JCM 10099)	
