Drug	IUPHAR	DrugBank	Sorger_KinaseResourcee	BindingDB	TTD	Synonym_Deck_Size + 	Synonyms 
Capecitabine	IUPHAR_Yes	DrugBank_Yes	No	No	TTD_Yes	6	CAPECITABINE|Xeloda|capecitabine|Capecitabine|5'-Deoxy-5-fluoro-N-[(pentyloxy)carbonyl]-cytidine|Ro 09-1978/000|
Ruxolitinib Phosphate	IUPHAR_Yes	DrugBank_Yes	KinaseResource_Yes	BindingDB_Yes	TTD_Yes	14	RUXOLITINIB PHOSPHATE|INCB18424|INCB-18424|RUXOLITINIB|INCB-18424 Phosphate|Ruxolitinib_Phosphate|Ruxolitinib|1H-Pyrazole-1-propanenitrile, beta-cyclopentyl-4-(7H-pyrrolo(2,3-d)pyrimidin-4-yl)-,(betaR)-, phosphate (1:1)|Oral JAK Inhibitor INCB18424|Oral_JAK_Inhibitor_INCB18424|(3R)-3-cyclopentyl-3-(4-(7h-pyrrolo(2,3-d)pyrimidin-4-yl)pyrazol-1-yl)propanenitrile|Ruxolitinib Phosphate|(3R)-3-cyclopentyl-3-(4-(7h-pyrrolo(2,3-d)pyrimidin-4-yl)pyrazol-1-yl)propanenitrile Phosphate (1:1)|Jakafi|
Alemtuzumab	IUPHAR_Yes	DrugBank_Yes	No	No	TTD_Yes	9	ALEMTUZUMAB|Anti-CD52 Monoclonal Antibody|MabCampath|alemtuzumab|Campath-1H|Alemtuzumab|LDP-03|Monoclonal Antibody Campath-1H|Campath|
Belinostat	IUPHAR_Yes	DrugBank_Yes	KinaseResource_Yes	BindingDB_Yes	TTD_Yes	6	Beleodaq|PXD 101|belinostat|Belinostat|PXD101|BELINOSTAT|
Lenalidomide	No	DrugBank_Yes	No	No	TTD_Yes	8	CC5013|CDC 501|CC-5013|Lenalidomide|3-(4-Amino-1-oxo-1,3-dihydro-2H-isoindol-2-yl)piperidine-2,6-dione|LENALIDOMIDE|lenalidomide|Revlimid|
IMR 1	No	No	No	No	No	2	Inhibitor of Mastermind Recruitment-1|2-[2-Methoxy-4-[(4-oxo-2-thioxo-5-thiazolidinylidene)methyl]phenoxy]-acetic acid ethyl ester|
UAE Inhibitor TAK-243	No	DrugBank_Yes	No	No	No	5	UAE Inhibitor TAK-243|MLN7243|AOB87172|TAK-243|UAE Inhibitor  TAK-243|
Ruxolotinib	IUPHAR_Yes	DrugBank_Yes	KinaseResource_Yes	BindingDB_Yes	TTD_Yes	6	INCB-018424|INCA24|INCB018424|ruxolitinib|Jakavi|Jakafi|
CDK Inhibitor AT7519	No	No	KinaseResource_Yes	BindingDB_Yes	TTD_Yes	6	CDK inhibitor AT7519M|CDKI AT7519|CDK Inhibitor AT7519|Cyclin-Dependent Kinase Inhibitor AT7519M|AT7519M|AT7519|
Quizartinib	IUPHAR_Yes	DrugBank_Yes	KinaseResource_Yes	No	TTD_Yes	7	AC-220|N-(5-tert-butyl-isoxazol-3-yl)-N'-{4-[7-(2-morpholin-4-yl-ethoxy)imidazo [2,1-b] [1,3] benzothiazol 2-yl]phenyl}urea|Quizartinib|AC010220|(2E)-N-(4-(3-Chloro-4-Fluoroanilino)-7-(((3S)-Oxolan-3-Yl)Oxy)Quinoxazolin-6-yl)-4-(Dimethylamino)but-2-Enamide|AC220|QUIZARTINIB|
17-AAG	IUPHAR_Yes	DrugBank_Yes	KinaseResource_Yes	BindingDB_Yes	TTD_Yes	4	Tanespimycin|17-N-allylamino-17-demethoxygeldanamycin|17 AAG|17AAG|
Copanlisib	No	DrugBank_Yes	KinaseResource_Yes	No	TTD_Yes	5	BAY 80-6946|Copanlisib|PI3K Inhibitor BAY 80-6946|aliqopa|COPANLISIB|
Taselisib	IUPHAR_Yes	DrugBank_Yes	KinaseResource_Yes	No	TTD_Yes	4	RO5537381|TASELISIB|GDC-0032|Taselisib|
PI-103	IUPHAR_Yes	No	KinaseResource_Yes	BindingDB_Yes	No	85	SR-01000946304|"3-(4-morpholinopyrido[2,3]furo[2,4-b]pyrimidin-2-yl)phenol"|PI 103 hydrobromide|NCGC00187906-15|"3-[6-(morpholin-4-yl)-8-oxa-3,5,10-triazatricyclo[7.4.0.0^{2,7}]trideca-1(9),2(7),3,5,10,12-hexaen-4-yl]phenol"|GTPL5701|YQX02F616F|CCG-101301|371935-74-9 (free base)|PI-103 hydrobromide|DTXSID40190676|CHEBI:90524|"3-[4-(4-Morpholinyl)pyrido[3',2':4,5]furo[3,2-d]pyrimidin-2-yl]phenol"|HMS3229C15|HMS3654E09|HMS3244E11|KS-00000HCH|HMS3244E12|"3-[6-(morpholin-4-yl)-8-oxa-3,5,10-triazatricyclo[7.4.0.0^{2,7}]trideca-1(9),2,4,6,10,12-hexaen-4-yl]phenol"|MLS006010988|SYN1065|MFCD11983145|PIK-103|NCGC00187906-03|X7432|cc-5|AK163162|HY-10115|X6K|cid_9884685|BDBM25045|"3-[4-(4-morpholinyl)pyrido[3',2':4,5]furo[3,2-d]pyrimidin-2-yl]"|AS-16221|CS-0127|NCGC00187906-02|NCGC00187906-01|PI-103|371935-74-9|QCR-256|"3-[6-(morpholin-4-yl)-8-oxa-3,5,10-triazatricyclo[7.4.0.0^{2,7}]trideca-1(13),2,4,6,9,11-hexaen-4-yl]phenol"|HMS3650M10|BCP01923|"3-(4-morpholin-4-ylpyrido[2,3]furo[2,4-b]pyrimidin-2-yl)phenol"|BCPP000107|BCP19373|Q27088379|UNII-YQX02F616F|SCHEMBL258242|HMS3295E19|"3-(4-morpholin-4-ylpyrido[3 ,2 :4,5]furo[3,2-d]pyrimidin-2-yl)phenol"|"3-(4-(4-morpholinyl)pyrido[3?,2?:4,5]furo[3,2-d]pyrimidin-2- yl)phenol"|SW218117-2|"3-[4-(morpholin-4-yl)pyrido[3',2':4,5]furo[3,2-d]pyrimidin-2-yl]phenol"|PI103|"3-(4-(4-Morpholinyl)pyrido[3&prime;,2&prime;:4,5]furo[3,2-d]pyrimidin-2-yl)phenol"|BRD-K67868012-003-01-5|CHEMBL573339|PI 103|s1038|"Phenol, 3-(4-(4-morpholinyl)pyrido(3',2':4,5)furo(3,2-d)pyrimidin-2-yl)-"|CTK8F1083|HMS3244F11|EC-000.2123|935P749|"3-[4-(4-morpholinyl)-2-pyrido[2,3]furo[2,4-b]pyrimidinyl]phenol"|"3-(4-morpholinopyrido[3',2':4,5]furo[3,2-d]pyrimidin-2-yl)phenol"|EX-A039|4l23|"Phenol, 3-[4-(4-morpholinyl)pyrido[3',2':4,5]furo[3,2-d]pyrimidin-2-yl]-"|SMR002530603|2x6k|FT-0712341|"pyridofuropyrimidine derivative, 2"|compound 2 [PMID: 17601739]|SR-01000946304-1|AB0033724|PIK 103|"mTOR Inhibitor, PI103"|"3-(6-morpholin-4-yl-8-oxa-3,5,10-triazatricyclo[7.4.0.02,7]trideca-1(9),2(7),3,5,10,12-hexaen-4-yl)phenol"|Kinome_3597|AKOS024462563|W-5518|"3-(4-Morpholin-4-Ylpyrido[3',2':4,5]furo[3,2-D]pyrimidin-2-Yl)phenol"|"3-(4-(4-Morpholinyl)pyrido[3',2':4,5]furo[3,2-d]pyrimidin-2-yl)phenol"|ZINC3963016|
Trametinib	IUPHAR_Yes	DrugBank_Yes	KinaseResource_Yes	No	TTD_Yes	8	Mekinist|TRAMETINIB|JTP-74057|MEK Inhibitor GSK1120212|N-(3-{3-cyclopropyl-5-[(2-fluoro-4-iodophenyl)amino]-6,8-dimethyl-2,4,7-trioxo-3,4,6,7-tetrahydropyrido[4,3-d]pyrimidin-1(2H)-yl}phenyl)acetamide|MEK_Inhibitor_GSK1120212|GSK1120212|Trametinib|
S31-201	No	No	No	BindingDB_Yes	No	1	NSC 74859|
Methotrexate	IUPHAR_Yes	DrugBank_Yes	KinaseResource_Yes	BindingDB_Yes	No	42	4-Amino-10-methylfolic Acid|Metex|Lumexon|methotrexate|Methotrexate Methylaminopterin|Brimexate|Medsatrexate|MTX|Trexeron|amethopterin|Folex|Tremetex|4-Amino-4-deoxy-10-methylpteroyl-L-glutamic Acid|Methotrexate|WR-19039|Methoblastin|Methotrexate LPF|Emtexate|Maxtrex|Mexate-AQ|Novatrex|Emthexate|Lantarel|METHOTREXATE|N-[4-[[(2,4-Diamino-6-pteridinyl)methyl]methylamino]benzoyl]-L-glutamic Acid|Methotrexatum|Alpha-Methopterin|Folex PFS|Amethopterin|Fauldexato|Abitrexate|CL-14377|Emthexat|Metotrexato|Metrotex|Texate|CL 14377|Ledertrexate|Trixilem|Farmitrexat|Rheumatrex|Mexate|
Prednisone	IUPHAR_Yes	DrugBank_Yes	No	No	TTD_Yes	48	.delta.1-Cortisone|PRED|Paracort|Decorton|Prednilonga|Decortisyl|Meticorten|Prednitone|Delta 1-Cortisone|1,2-Dehydrocortisone|Predicor|Predicorten|Prednicen-M|Deltasone|17,21-Dihydroxypregna-1,4-diene-3,11,20-trione|PREDNISONE|Deltra|Lisacort|Cortancyl|Metacortandracin|Predeltin|Sk-Prednisone|Liquid Pred|DeCortin|Servisone|Panasol-S|Prednidib|Econosone|Panafcort|1, 2-Dehydrocortisone|Deltacortisone|Meprosona-F|Prednisone|Prednisonum|Delta-Dome|Orasone|Ofisolona|Prednicort|Sterapred|Deltison|Adasone|Predniment|Promifen|SK-Prednisone|Deltacortene|prednisone|Dacortin|Deltadehydrocortisone|
Eribulin Mesylate	IUPHAR_Yes	DrugBank_Yes	No	No	TTD_Yes	11	Halichondrin B Analog|Eribulin|B1939 Mesylate|E7389|Halaven|eribulin mesylate|ERIBULIN|ER-086526|Eribulin Mesylate|2-(3-Amino-2-hydroxypropyl)hexacosahydro-3-methoxy-26-methyl-20,27-bis(methylene)11,15-18,21-24,28-triepoxy-7,9-ethano-12,15-methano-9H,15H-furo(3,2-i)furo(2',3'-5,6)pyrano(4,3-b)(1,4)dioxacyclopentacosin-5-(4H)-one|ERIBULIN MESYLATE|
BMS-345541	IUPHAR_Yes	No	KinaseResource_Yes	BindingDB_Yes	No	1	BMS345541|
Lorlatinib	IUPHAR_Yes	DrugBank_Yes	KinaseResource_Yes	No	No	6	Lorlatinib|Lorbrena|2H-4,8-Methenopyrazolo(4,3-H)(2,5,11)benzoxadiazacyclotetradecine-3-carbonitrile, 7-amino-12-fluoro-10,15,16,17-tetrahydro-2,10,16-trimethyl-15-oxo-, (10R)-|LORLATINIB|7-Amino-12-fluoro-2,10,16-trimethyl-15-oxo-10,15,16,17-tetrahydro-2H-8,4-(metheno)pyrazolo(4,3-h)(2,5,11)benzoxadiazacyclotetradecine-3-carbonitrile|PF-06463922|
Irinotecan Sucrosofate	No	No	No	No	No	9	MM-398|Irinotecan Sucrosofate|Nanoliposomal Irinotecan|Nanoparticle Liposome Formulation of Irinotecan|nal-IRI|PEP02|Irinotecan Liposome|Onivyde|IRINOTECAN SUCROSOFATE|
Hydroxyurea	IUPHAR_Yes	DrugBank_Yes	No	BindingDB_Yes	TTD_Yes	15	Onco-Carbide|SQ-1089|Syrea|Hydroxycarbamide|HYDROXYUREA|Hydroxyurea|Droxia|Oxeron|Hydrea|Oncocarbide|hydroxyurea|SQ 1089|Onco-carbide|WR 83799|Litalir|
Melphalan Hydrochloride	No	DrugBank_Yes	No	BindingDB_Yes	TTD_Yes	28	4-[bis(2-chloroethyl)amino]-L-phenylalanine|L-sarcolysin|melphalan|MELPHALAN HYDROCHLORIDE|Alkeran|p-di(chloroethyl)amino-L-phenylalanine|L-Sarcolysin|Melphalanum|Sarcoclorin|Sarkolysin|Phenylalanine Nitrogen Mustard|L-Phenylalanine mustard|Melphalan|3-(p-(bis(2-chloroethyl)amino)phenyl)-L-Alanine, Hydrochloride|Phenylalanine nitrogen mustard|WR-19813|Alanine Nitrogen Mustard|Melphalan Hydrochloride|L-Sarcolysine|L-Sarcolysin Phenylalanine mustard|Alkerana|Evomela|Melphalan_Hydrochloride|Phenylalanine Mustard|L-Phenylalanine Mustard|CB-3025|MELPHALAN|L-PAM|
Etomoxir	No	No	No	No	No	2	Ethyl 2-[6-(4-chlorophenoxy)hexyl]oxirane-2-carboxylate|2[6(4-chlorophenoxy)hexyl]oxirane-2-carboxylate|
Satraplatin	No	DrugBank_Yes	No	No	No	11	(OC-6-43)-bis(acetato-O)amminedichloro(cyclohexanamine)platinum|platinum,bis(acetato-O)amminedichloro(cyclohexanamine)-,(OC-6-43)|Orplatna|Satraplatin|(OC-6-43)-bis(acetato)amminedichloro(cyclohexylamine)platinum|BMS-182751|JM-216|JM 216|BMY-45594|satraplatin|SATRAPLATIN|
Glutathione Pegylated Liposomal Doxorubicin Hydrochloride Formulation 2B3-101	No	No	No	No	No	2	2B3-101|Glutathione Pegylated Liposomal Doxorubicin Hydrochloride Formulation 2B3-101|
Peginterferon Alfa-2b	IUPHAR_Yes	DrugBank_Yes	No	No	TTD_Yes	15	PEG Intron|Polyethylene Glycol IFN-A2b|PEG Interferon Alpha-2b|PEGINTERFERON ALFA-2B|PEG-IFN Alfa-2b|PEG-Interferon_Alfa-2B|Sylatron|Pegylated Interferon Alpha-2b|PEG-Interferon Alfa-2b|Peginterferon Alfa-2b|Polyethylene Glycol Interferon Alfa-2b|PEG-Intron|SCH 54031|PEG-interferon alfa-2b|PEG-IFN-a 2b|
NVP-ADW742	No	No	No	No	No	4	ADW742|"5-[3-(phenylmethoxy)phenyl]-7-[trans-3-(1-pyrrolidinylmethyl)cyclobutyl]-7H-pyrrolo[2,3-d]pyrimidin-4-amine"|GSK552602A|NVPADW742|
Leucovorin Calcium	No	DrugBank_Yes	No	No	No	57	Calfolex|Leucosar|Folinic Acid Calcium Salt Pentahydrate|Leucovorin_Calcium|Leucovorin|Calcium N-(p-((((6RS)-2-amino-5-formyl-5,6,7,8-tetrahydro-4-hydroxy-6-pteridinyl)methyl)amino)benzoyl)-L-glutamate (1:1)|FOLI-cell|Calcium Folinate|Wellcovorin|Cehafolin|5-Formyl Tetrahydrofolate|Calcium Leucovorin|Citofolin|Rescuvolin|Disintox|Folix|5-Formyl-5,6,7,8-tetrahydropteroyl-L-glutamic Acid|Folinic acid|Lederfolin|Factor, Citrovorum|Foliben|LEUCOVORIN CALCIUM|Dalisol|Folidan|Imo|Folinac|Calinat|Lederfolat|Folidar|Folinate Calcium|N-[p-[[(2-Amino-5-formyl-5,6,7,8-tetrahydro-4-hydroxy-6-pteridinyl)methyl]amino]benzoyl]glutamic Acid|Divical|Tonofolin|Folinvit|N-[4-[[(2-Amino-5-formyl-1,4,5,6,7,8-hexahydro-4-oxo-6-pteridinyl)methyl]amnio]benzoyl]-L-glutamic Acid, Calcium Salt (1:1)|Leucovorin Calcium|Calcifolin|leucovorin|leucovorin calcium|Folinoral|Folaren|5-Formyl-5,6,7,8-tetrahydrofolic Acid|LEUCOVORIN|Adinepar|Folaxin|Calcium (6S)-Folinate|folinic acid|5-Formyltetrahydrofolate|Cromatonbic Folinico|Ecofol|Rescufolin|Citrovorum Factor|Emovis|Flynoken A|Foliplus|citrovorum factor|Citrec|
Sepantronium Bromide	No	No	No	No	No	5	SEPANTRONIUM BROMIDE|Sepantronium Bromide|1H-Naphth(2,3-d)imidazolium, 4,9-dihydro-1-(2-methoxyethyl)-2-methyl-4,9-dioxo-3-(pyrazinylmethyl)-, Bromide|YM-155|Survivin Inhibitor YM155|
c-Met Inhibitor JNJ-38877605	No	DrugBank_Yes	No	No	No	2	JNJ-38877605|c-Met Inhibitor JNJ-38877605|
TG100-115	No	DrugBank_Yes	KinaseResource_Yes	BindingDB_Yes	TTD_Yes	2	"|"6,7-Bis(3-hydroxyphenyl)pteridine-2,4-diamine"|
Tegavivint	No	No	No	No	No	7	9,10-Anthracenedione, 2,7-bis(((3R,5S)-3,5-dimethyl-1-piperidinyl)sulfonyl)-, 9,10-dioxime, rel-|BC2059|TEGAVIVINT|BC 2059|Tegatrabetan|Tegavivint|BC-2059|
Doxorubicin Hydrochloride	IUPHAR_Yes	DrugBank_Yes	No	BindingDB_Yes	TTD_Yes	62	Doxorubicine Baxter|Farmiblastina|Adriamycin Hydrochloride|Adriblastina|5,12-Naphthacenedione, 10-[(3-amino-2,3,6-trideoxy-alpha-L-lyxo-hexopyranosyl)oxy]-7,8,9,10-tetrahydro-6,8,11-trihydroxy-8-(hydroxyacetyl)-1-methoxy-,hydrochloride, (8S-cis)-(9CI)|Doxorubicina Tedec|ADM|Doxorubicin hydrochloride|Doxorubicin|Myocet|DOXORUBICIN HYDROCHLORIDE|DOXO cell|Doxotec|(8S-cis)-10-[(3-Amino-2,3,6-trideoxy-alpha-L-lyxo-hexopyranosyl)oxy]-7,8,9,10-tetrahydro-6,8,11-trihydroxy-8-(hydroacetyl)-1-methoxy-5,12-naphthacenedione|Doxolem|Onkodox|Doxorubicin NC|Adriacin|Doxorubicin Liposomal|doxorubicin|Hydrochloride, Doxorubicin|FI 106|Urokit Doxo-cell|"Hydrochloride, Doxorubicin"|(8S-cis)-10-[(3-Amino-2,3,6-trideoxy-alpha-L-lyxo-hexopyranosyl)oxy]-7,8,9,10-tetrahydro-6,8,11-trihydroxy-8-(hydroxyacetyl)-1-methoxy-5,12-naphthacenedione|Doxorubicina Funk|DOX|14-Hydroxydaunorubicin Hydrochloride|Adriamycin PFS|Adriblastin|Ribodoxo|ADRIAMYCIN, HYDROCHLORIDE|Doxorubicin_Hydrochloride|Adriblastine|DOXO-CELL|Doxorubicina Ferrer Farm|Adriablastine|doxorubicin hydrochloride|Adriamycin hydrochloride|L-Lyxo-hexopyranoside, 3b-glycol-1,2,3,4,6,11-hexahydro-3,5,12-trihydroxy-10-methoxy-6,11-dioxo-1a-naphthacenyl 3-amino-2,3,6-trideoxy-alpha-, hydrochloride|Hydroxyl Daunorubicin|Adriamycin|Doxorubicin Hydrochloride|Doxorubicin.HCl|DOXO-cell|Hydroxyldaunorubicin|Adrimedac|Urokit Doxo cell|Adriablastin|Adriamycine|hydroxydaunorubicin|Chloridrato de Doxorrubicina|Doxorubin|FI-106|Doxil|DOXORUBICIN|5,12-Naphthacenedione, 10-[(3-amino-2,3,6-trideoxy-alpha-L-lyxo-hexopyranosyl)oxy]-7,8, 9,10-tetrahydro-6,8,11-trihydroxy-8-(hydroxyacetyl)-1-methoxy-, hydrochloride, (8S-cis)- (9CI)|Rubex|Adriamycin RDF|3-Hydroxyacetyldaunorubicin Hydrochloride|Doxorubicin Hexal|14-Hydroxydaunomycin|
Etoposide Phosphate	IUPHAR_Yes	DrugBank_Yes	No	BindingDB_Yes	TTD_Yes	18	VP-16-213|Vepesid|Etoposide Phosphate|ETOPOSIDE PHOSPHATE|etoposide phosphate|Etopophos|Etoposide|Demethyl Epipodophyllotoxin Ethylidine Glucoside|9-[(4,6-O-Ethylidene-beta-D-glucopyranosyl]oxy)-5,8,8a,9-tetrahydro-5-(4-hydroxy-3,5-dimethoxyphenyl)furo[3',4':6,7]naphtho[2,3-d]-1,3-dioxol-6(5aH)-one|EPEG|4'-Demethylepipodophyllotoxin 9-[4,6-O-ethylidene-beta-D-glucopyranoside]|ETOPOSIDE|Lastet|VP-16|Toposar|etoposide|VP 16-213|Etoposide_Phosphate|
Goserelin Acetate	IUPHAR_Yes	DrugBank_Yes	No	No	TTD_Yes	11	GOSERELIN ACETATE|goserelin|Zoladex|GOSERELIN|ICI-118630|Goserelin Acetate|Goserelin|6-[O-(1,1-Dimethylethyl)-D-serine]-10-deglycinamide Luteinizing Hormone-Releasing Factor (Pig) 2-(aminocarbonyl)hydrazide|D-Ser(bu(t))(6)azgly(10)-LHRH Acetate|Goserelin_Acetate|ZDX|
Selinexor	No	DrugBank_Yes	No	No	No	9	Selective Inhibitor of Nuclear Export KPT-330|Selinexor|2-Propenoic Acid, 3-(3-(3,5-Bis(trifluoromethyl)phenyl)-1H-1,2,4-triazol-1-yl)-, 2-(2-Pyrazinyl)hydrazide, (2Z)-|CRM1 Nuclear Export Inhibitor KPT-330|KPT-330|SINE KPT-330|SELINEXOR|Xpovio|ATG-010|
Pegylated Liposomal Irinotecan	No	No	No	No	No	2	IHL-305|Pegylated Liposomal Irinotecan|
Scopoletin	No	No	KinaseResource_Yes	BindingDB_Yes	No	18	Scopoletine|6-Methylesculetin|6-Methoxyumbelliferone|Escopoletin|7-Hydroxy-5-Methoxycoumarin|Scopoletin|Gelseminic Acid|7-Hydroxy-6-Methoxychromen-2-One|7-Hydroxy-6-Methoxycoumarin|2H-1-Benzopyran-2-One, 7-Hydroxy-6-Methoxy- (9CI)|Scopoletol|2H-1-Benzopyran-2-One, 7-Hydroxy-6-Methoxy-|6-O-Methylesculetin|Methylesculetin|Coumarin, 7-Hydroxy-6-Methoxy-|Chrysatropic Acid|Esculetin-6-Methyl Ether|Murrayetin|
Lucitanib	IUPHAR_Yes	DrugBank_Yes	KinaseResource_Yes	No	No	5	1-Naphthalenecarboxamide, 6-((7-((1-aminocyclopropyl)methoxy)-6-methoxy-4-quinolinyl)oxy)-n-methyl-|Lucitanib|E-3810|AL3810|LUCITANIB|
Ubidecarenone Nanodispersion BPM31510n	No	No	No	No	No	5	Coenzyme Q10 Injectable Nanosuspension|Ubidecarenone Injectable Nanosuspension|Ubidecarenone Nanodispersion BPM31510n|BP31510|Ubiquinone Injectable Nanosuspension|
Trabectedin	IUPHAR_Yes	DrugBank_Yes	KinaseResource_Yes	BindingDB_Yes	No	10	Ecteinascidin 743|Ecteinascidin|Spiro(6,16-(epithiopropanoxymethano)-7,13-imino-12H-1,3-dioxolo(7,8)isoquino(3,2,-b)(3)benzazocine-20,1'(2'H)-isoquinolin)-19-one, 3',4',6,6a,7,13,14,16-Octahydro-5-(acetyloxy)-6',8,14-trihydroxy-7',9-dimethoxy-4,10,23-trimethyl-, (6R-(6-alpha,6a-beta,7-beta,13-beta,14-beta,16-alpha,20R*))-|trabectedin|TRABECTEDIN|ET-743|Ecteinascidin_743|Trabectedin|ecteinascidin 743|Yondelis|
Cabozantinib	IUPHAR_Yes	DrugBank_Yes	No	BindingDB_Yes	TTD_Yes	4	CABOZANTINIB|Cabozantinib|1,1-Cyclopropanedicarboxamide, N'-[4-[(6,7-dimethoxy-4-quinolinyl)oxy]phenyl]-N-(4- fluorophenyl)-|N-{4-[(6,7-dimethoxyquinolin-4-yl)oxy]phenyl}-N'-(4-fluorophenyl)cyclopropane-1,1- dicarboxamide|
Dexrazoxane Hydrochloride	No	DrugBank_Yes	No	No	TTD_Yes	19	Dexrazoxane Hydrochloride|2,6-Piperazinedione, 4,4'propylenedi-,(P)-(8CI)|ICRF-187|DEXRAZOXANE|Dexrazoxane|ADR-529|Cardioxane|Razoxane (+)-form|DEXRAZOXANE HYDROCHLORIDE|Dexrazoxane_Hydrochloride|2,6-Piperazinedione, 4, 4'-(1-methyl-1,2-ethanediyl)bis-, (S)- (9CI)|dexrazoxane|(+)-(S)-4,4'-(1-Methyl-1,2-ethanediyl)di(2,6-piperazinedione)|Totect|Zinecard|dexrazoxane hydrochloride|2, 6-Piperazinedione, 4,4'-propylenedi-, (P)- (8CI)|2,6-Piperazinedione, 4,4'-(1-methyl-1,2-ethanediyl)bis-,(S)-(9CI)|Soluble ICRF (L-isomer)|
Nelarabine	No	DrugBank_Yes	No	No	TTD_Yes	10	Nelarabine|506U78|2-Amino-9-beta-D-arabinofuranosyl-6-methoxy-9H-purine|Compound 506U78|NELARABINE|GW506U78|2-Amino-6-methoxypurine arabinoside|Arranon|nelarabine|2-Amino, 6-Methoxypurine Arabinoside|
Temozolomide	No	DrugBank_Yes	No	BindingDB_Yes	TTD_Yes	17	M & B 39831|temozolomide|M and B 39831|Imidazo[5,1-d]-1,2,3,5-tetrazine-8-carboxamide, 3, 4-dihydro-3-methyl-4-oxo-|Temodal|8-carbamoyl-3-methylimidazo[5,1-d]-1,2,3,5-tetrazin-4(3H)-one|RP-46161|imidazo[5,1-d]-1,2,3,5-tetrazine-8-carboxamide, 3, 4-dihydro-3-methyl-4-oxo-|TEMOZOLOMIDE|Temomedac|SCH 52365|CCRG-81045|Methazolastone|Temcad|Temodar|Temozolomide|3,4-dihydro-3-methyl-4-oxoimidazo[5,1-d]-1,2,3,5-tetrazine-8-carboxamide|
Blinatumomab	IUPHAR_Yes	DrugBank_Yes	No	No	TTD_Yes	8	MEDI-538|Anti-CD19/Anti-CD3 Recombinant Bispecific Monoclonal Antibody MT103|MT-103|Anti-CD19 x Anti-CD3 Bispecific Monoclonal Antibody|Blinatumomab|Blincyto|BLINATUMOMAB|Anti-CD19_Anti-CD3_Bispecific_Monoclonal_Antibody|
Vismodegib	IUPHAR_Yes	DrugBank_Yes	KinaseResource_Yes	BindingDB_Yes	TTD_Yes	7	GDC-0449|2-chloro-N-[4-chloro-3-(pyridin-2-yl)phenyl]-4-(methylsulfonyl)benzamide|VISMODEGIB|Erivedge|Hedgehog Antagonist GDC-0449|Vismodegib|Hedgehog_Antagonist_GDC-0449|
Seliciclib	IUPHAR_Yes	DrugBank_Yes	KinaseResource_Yes	No	TTD_Yes	4	Seliciclib|R-roscovitine|CYC202|SELICICLIB|
Gemcitabine Elaidate	No	DrugBank_Yes	No	No	No	4	Gemcitabine 5'-Elaidic Acid Ester|GEMCITABINE ELAIDATE|CP-4126|Gemcitabine Elaidate|
Afatinib Dimaleate	IUPHAR_Yes	DrugBank_Yes	KinaseResource_Yes	BindingDB_Yes	TTD_Yes	14	BIBW 2992|Afatinib_Dimaleate|BIBW2992|Afatinib Dimaleate|BIBW 2992MA2|(2E)-N-(4-((3-Chloro-4-fluorophenyl)amino)-7-(((3S)-tetrahydrofuran-3-yl)oxy)quinazolin- 6-yl)-4-(dimethylamino)but-2-enamide bis(hydrogen (2Z)-but-2-enedioate)|AFATINIB DIMALEATE|Afatinib|AFATINIB|BIBW2992 MA2|(2e)-N-(4-(3-Chloro-4-Fluoroanilino)-7-(((3s)-Oxolan-3-yl)Oxy)Quinoxazolin-6-yl)-4-(Dimethylamino)But-2-Enamide|BIBW_2992|2-Butenamide, N-[4-[(3-chloro-4-fluorophenyl)amino]7-[[(3S)-tetrahydro-3-furanyl]oxy]-6-quinazolinyl]-4-(dimethylamino)-,(2E)-, (2Z)-2-Butenedioate (1:2)|Gilotrif|
Pertuzumab	IUPHAR_Yes	DrugBank_Yes	No	No	TTD_Yes	12	Monoclonal Antibody 2C4|Perjeta|2C4|Pertuzumab|RO4368451|2C4 Antibody|rhuMAb2C4|Immunoglobulin G1, Anti-(Human V (Receptor)) (Human-Mouse Monoclonal 2C4 Heavy Chain), Disulfide with Human-Mouse Monoclonal 2C4 Kappa-Chain, Dimer|pertuzumab|MoAb 2C4|PERTUZUMAB|Omnitarg|
Halofuginone	No	DrugBank_Yes	No	No	No	3	Halofuginone|trans-(+/-)-7-Bromo-6-chloro-3-[3-(3-hydroxy-2-piperidinyl)-2-oxopropyl]-4(3H)-quinazolinone|HALOFUGINONE|
