Drug	Synonyms
Lenalidomide Analog KPG-121	KPG-121|Lenalidomide Analog KPG-121|KPG 121|KPG121|
Elesclomol	ELESCLOMOL|1-N'-benzenecarbothioyl-3-(2-benzenecarbothioyl-2-methylhydrazinyl)-N'-methyl- oxopropanehydrazidide|Elesclomol|Propanedioic Acid, Bis[2-methyl-2-(phenylthioxomethyl)hydrazide]|
Vistusertib	VISTUSERTIB|AZD2014|AZD 2014|Benzamide, 3-(2,4-Bis((3S)-3-methyl-4-morpholinyl)pyrido(2,3-d)pyrimidin-7-yl)-N-methyl-|Vistusertib|AZD-2014|
Methotrexate	4-Amino-10-methylfolic Acid|Metex|Lumexon|methotrexate|Methotrexate Methylaminopterin|Brimexate|Medsatrexate|MTX|Trexeron|amethopterin|Folex|Tremetex|4-Amino-4-deoxy-10-methylpteroyl-L-glutamic Acid|Methotrexate|WR-19039|Methoblastin|Methotrexate LPF|Emtexate|Maxtrex|Mexate-AQ|Novatrex|Emthexate|Lantarel|METHOTREXATE|N-[4-[[(2,4-Diamino-6-pteridinyl)methyl]methylamino]benzoyl]-L-glutamic Acid|Methotrexatum|Alpha-Methopterin|Folex PFS|Amethopterin|Fauldexato|Abitrexate|CL-14377|Emthexat|Metotrexato|Metrotex|Texate|CL 14377|Ledertrexate|Trixilem|Farmitrexat|Rheumatrex|Mexate|
Alvocidib	ALVOCIDIB|Flavopiridol|Alvocidib Freebase|(-)-cis-5,7-Dihydroxy-2-(2-chlorophenyl)-8-(4-(3-hydroxy-1-methyl)piperidinyl)-4H-1-benzopyran-4-one|alvocidib|flavopiridol|Alvocidib|
Dovitinib	DOVITINIB|Dovitinib|
Crenolanib	4-Piperidinamine, 1-[2-[5-[(3-methyl-3-oxetanyl)methoxy]-1Hbenzimidazol-1-yl]-8-quinolinyl]-|Crenolanib|[1-[2-[5-(3-Methyloxetan-3-ylmethoxy)benzimidazol-1-yl]quinolin-8-yl]piperidin-4-yl]amine|CP-868596|CP-868,596|CRENOLANIB|PDGFR Inhibitor CP-868596|
Gemcitabine Hydrochloride	GEMCITABINE HYDROCHLORIDE|Gemcitabine HCI|LY-188011|dFdCyd|2'Deoxy-2',2'-Difluorocytidine, Hydrochloride|Gemcitabine Hydrochloride|Difluorodeoxycytidine Hydrochloride|FF10832|gemcitabine hydrochloride|FF 10832|FF-10832|1-(2-Oxo-4-amino-1,2-dihydropyrimidin-1-yl)-2-deoxy-2,2-difluororibose, hydrochloride|Gemzar|LY188011|
Kunecatechins Ointment	Polyphenon E Ointment|Polyphenon E Topical Ointment|Defined Green Tea Catechin Extract OIntment|Kunecatechins Ointment|Veregen|
Ponatinib Hydrochloride	Iclusig|Benzamide, 3-(2-Imidazo(1,2-B)Pyridazin-3-Ylethynyl)-4-Methyl-N-(4-((4-Methyl-1- Piperazinyl)Methyl)-3-(Trifluoromethyl)Phenyl)-, Hydrochloride (1:1)|AP24534 HCl|Ponatinib Hydrochloride|PONATINIB HYDROCHLORIDE|
Volasertib	Polo-like Kinase 1 Inhibitor BI 6727|BI 6727|VOLASERTIB|Benzamide, N-(Trans-4-(4-(Cyclopropylmethyl)-1-Piperazinyl)Cyclohexyl)-4-(((7r)-7-Ethyl-5,6,7,8-Tetrahydro-5-Methyl-8-(1-Methylethyl)-6-Oxo-2-Pteridinyl)Amino)-3-Methoxy-|BI-6727|Volasertib|
Vemurafenib	Vemurafenib|BRAF(V600E) Kinase Inhibitor RO5185426|RO 5185426|PLX4032|PLX-4032|1-propanesulfonamide, n-(3-((5-(4-chlorophenyl)-1h-pyrrolo(2,3-b)pyridin-3-yl)carbonyl)-2,4-difluorophenyl)-|RG 7204|Zelboraf|BRAF (V600E) kinase inhibitor RO5185426|RG7204|VEMURAFENIB|
Irinotecan/P-glycoprotein Inhibitor HM30181AK Combination Tablet	Irinotecan/P-glycoprotein Inhibitor HM30181AK Combination Tablet|Oratecan|
Liposomal NDDP	Liposomal-Cisplatin Analogue|Liposomal NDDP|Liposomal-Entrapped Cis-Bis-Neodecanoate-trans-R,R-1,2-Diaminocyclohexane Platinum (II)|Liposomal Neodecanoic Acid Platinum Complex|Aroplatin|L-NDDP|
Cabozantinib	CABOZANTINIB|Cabozantinib|1,1-Cyclopropanedicarboxamide, N'-[4-[(6,7-dimethoxy-4-quinolinyl)oxy]phenyl]-N-(4- fluorophenyl)-|N-{4-[(6,7-dimethoxyquinolin-4-yl)oxy]phenyl}-N'-(4-fluorophenyl)cyclopropane-1,1- dicarboxamide|
MEK 1/2 Inhibitor AS703988/MSC2015103B	MEK 1/2 Inhibitor AS703988/MSC2015103B|AS703988|MSC2015103B|AS703988/MSC2015103B|
Autologous HNSCC DNA-transfected Semi-allogeneic Fibroblasts MRC-5 Vaccine	Autologous HNSCC DNA-transfected Semi-allogeneic Fibroblasts MRC-5 Vaccine|
Alpelisib	Piqray|BYL719|ALPELISIB|Alpelisib|Phosphoinositide 3-kinase Inhibitor BYL719|
Autologous Bladder Cell Carcinoma RNAs/CD40L RNA Electroporated Autologous Matured Dendritic Cells	Bladder Cell Carcinoma RNAs/CD40L RNA-transfected Autologous Dendritic Cells|Autologous Bladder Cell Carcinoma RNAs/CD40L RNA Electroporated Autologous Matured Dendritic Cells|AGS-003-BLD|Autologous DCs Electroporated with Autologous Tumor-derived IVT RNAs/CD40L IVT RNA|Autologous DCs Electroporated with Autologous Tumor-derived RNAs/CD40L RNA|
Vismodegib	GDC-0449|2-chloro-N-[4-chloro-3-(pyridin-2-yl)phenyl]-4-(methylsulfonyl)benzamide|VISMODEGIB|Erivedge|Hedgehog Antagonist GDC-0449|Vismodegib|
Daniquidone	DANIQUIDONE|8-Aminoisoindolo(1,2-b)quinazolin-12(10H)-one|Batracylin|Bay H 2049|Daniquidone|batracylin|
Autologous Anti-BCMA-CAR-mRNA-transfected CD8+ T-lymphocytes	Autologous Anti-BCMA-CAR-mRNA-transfected CD8-positive T-cells|Autologous Anti-BCMA-CAR-mRNA-transfected CD8+ T-cells|Descartes-08|Autologous Anti-BCMA-CAR-mRNA-transfected CD8+ T-lymphocytes|Anti-BCMA-CAR-mRNA-transfected Autologous CD8+ T-cells|
Autologous NSCLC DNA-Transfected Semi-Allogeneic Fibroblasts MRC-5 Vaccine	Autologous NSCLC DNA-Transfected Semi-Allogeneic Fibroblasts MRC-5 Vaccine|
Motesanib	Motesanib|MOTESANIB|
Sacituzumab Govitecan	Sacituzumab Govitecan-hziy|Sacituzumab Govitecan|IMMU-132|RS7-SN38|hRS7-SN38 Antibody Drug Conjugate|SACITUZUMAB GOVITECAN|Trodelvy|
Infigratinib Mesylate	BGJ 398 Mesylate|INFIGRATINIB MESYLATE|Infigratinib Mesylate|BGJ-398 Mesylate|
Capecitabine	CAPECITABINE|Xeloda|capecitabine|Capecitabine|5'-Deoxy-5-fluoro-N-[(pentyloxy)carbonyl]-cytidine|Ro 09-1978/000|
2,6-Dimethoxyquinone	2,6-Dimethoxy-p-Benzoquinone|2,6-Dimethoxycyclohexa-2,5-Diene-1,4-Dione|2,6-DMBQ|2,6-Dimethoxy-1,4-Benzoquinone|2,6-Dimethoxy-p-Quinone|2,6-Dimethoxyquinone|2,6-Dimethoxybenzoquinone|2,5-Cyclohexadiene-1,4-Dione, 2,6-Dimethoxy-|2,5-Cyclohexadiene-1,4-Dione, 2,6-Dimethoxy- (9CI)|p-Benzoquinone, 2,6-Dimethoxy-|
Sepantronium Bromide	SEPANTRONIUM BROMIDE|Sepantronium Bromide|1H-Naphth(2,3-d)imidazolium, 4,9-dihydro-1-(2-methoxyethyl)-2-methyl-4,9-dioxo-3-(pyrazinylmethyl)-, Bromide|YM-155|Survivin Inhibitor YM155|
Ambazone	p-Benzoquinone Amidinohydrazone Thiosemicarbazone|Ambazone|AMBAZONE|Faringosept|
Masitinib Mesylate	4-[(4-Methylpiperazin-1-yl)methyl]-N-(4-methyl-3-{[4-(pyridin-3-yl)-1,3-thiazol-2-yl]amino}phenyl)benzamide Mesylate|Masitinib Mesylate|AB1010|
Prostate Health Cocktail Dietary Supplement	Prostate Health Cocktail Dietary Supplement|Cholecalciferol/d-Alpha Tocopherol/L-Selenomethionine/Green Tea Extract/Saw Palmetto Berry Extract/Daidzein/Genistein/Lycopene Prostate Health Supplement|PHC|Prostate Health Cocktail|
Chaparrinone	Chaparrinone|Picras-3-ene-2,16-dione, 11,20-epoxy-1,11,12-trihydroxy-, (1beta,11beta,12alpha)-|
PEOX-based Polymer Encapsulated Paclitaxel FID-007	FID007|Nanoencapsulated Paclitaxel FID-007|FID-007|PEOX-based Polymer Encapsulated Paclitaxel FID-007|FID 007|Paclitaxel in Polyethyloxazoline Polymer|
Pegylated Paclitaxel	Pegylated Paclitaxel|PEG Paclitaxel|
Dubermatinib	TP-0903|TP 0903|Dubermatinib|2-((5-Chloro-2-((4-((4-methylpiperazin-1-yl)methyl)phenyl)amino)pyrimidin-4-yl)amino)-N,N-dimethylbenzenesulfonamide|DUBERMATINIB|TP0903|
Ixabepilone	ixabepilone|Epothilone-B BMS 247550|BMS 247550|IXABEPILONE|Ixempra|BMS-247550|Epothilone|Azaepothilone B|Ixabepilone|BMS247550|(1S,3S,7S,10R,11S,12S,16R)-7,11-Dihydroxy-8,8,10,12,16-pentamethyl-3-[(1E)-1-methyl-2-(2-methyl-4-thiazolyl)ethenyl]-17-oxa-4-azabicyclo[14.1.0]heptadecane-5,9-dione|
Paclitaxel PPE Microspheres	Paclitaxel Biopolymer Formulation|Paclimer Microspheres|Paclimer Microspheres (Polilactofate/Paclitaxel)|Paclitaxel PPE Microspheres|
Taselisib	RO5537381|TASELISIB|GDC-0032|Taselisib|
Aerosol Gemcitabine	Aerosol Gemcitabine|Aerosolized GCB|Aerosolized Gemcitabine|
Trastuzumab Emtansine	ADO-TRASTUZUMAB EMTANSINE|Trastuzumab Emtansine|Immunoglobulin G1, Anti-(Human p185neu Receptor) (Human-Mouse Monoclonal RhuMab HER2 Gamma1-Chain), Disulfide with Human-Mouse Monoclonal RhuMab HER2 Light Chain, Dimer, Tetraamide with N2'-(3-((1-((4-carboxycyclohexyl)methyl)-2,5-dioxo-3-pyrrolidinyl)thio)-1-oxopropyl)-N2'-deacetylMaytansine|Trastuzumab-DM1|ADO-Trastuzumab Emtansine|Kadcyla|Trastuzumab-MCC-DM1 Immunoconjugate|Ado Trastuzumab Emtansine|Trastuzumab-MCC-DM1 Antibody-Drug Conjugate|RO5304020|T-DM1|PRO132365|Trastuzumab-MCC-DM1|
Ridaforolimus	AP23573|Rapamycin, 42-(dimethylphosphinate)|RIDAFOROLIMUS|Deforolimus|Ridaforolimus|ridaforolimus|MK-8669|
Nab-paclitaxel	nanoparticle paclitaxel|paclitaxel albumin-stabilized nanoparticle formulation|Albumin-Stabilized Nanoparticle Paclitaxel|Albumin-bound Paclitaxel|Nab-paclitaxel|Nanoparticle Paclitaxel|Abraxane|Paclitaxel Albumin|ABI 007|Protein-bound Paclitaxel|protein-bound paclitaxel|ABI-007|Nanoparticle Albumin-bound Paclitaxel|
Cerdulatinib	Cerdulatinib|Syk-JAK Inhibitor PRT062070|Syk/JAK Inhibitor PRT062070|PRT062070|PRT-062070|CERDULATINIB|
Resveratrol Formulation SRT501	Resveratrol Formulation SRT501|SRT501|
Vorinostat	SAHA|N-Hydroxy-N'-phenyloctanediamide|Suberanilohydroxamic Acid|vorinostat|L-001079038|Vorinostat|suberoylanilide hydroxamic acid|MSK-390|Suberoylanilide Hydroxamic Acid|Zolinza|VORINOSTAT|
PGLA/PEG Copolymer-Based Paclitaxel	PGLA/PEG Copolymer-Based Paclitaxel|OncoGel|
Sunitinib Malate	Sutent|sunitinib|Sunitinib Malate|SUNITINIB MALATE|sunitinib malate|SU011248|SU11248|Butanedioic acid, hydroxy-, (2S)-, compd. with N-(2-(diethylamino)ethyl)-5-((Z)-(5-fluoro-1,2-dihydro-2-oxo-3H-indol-3-ylidene)methyl)-2,4-dimethyl-1H-pyrrole-3-carboxamide (1:1)|
Lyso-Thermosensitive Liposome Doxorubicin	Heat-Activated Liposomal Doxorubicin Hydrochloride|Lyso-Thermosensitive Liposome Doxorubicin|ThermoDox|Temperature Sensitive Liposome Encapsulated Doxorubicin|
Glutathione Pegylated Liposomal Doxorubicin Hydrochloride Formulation 2B3-101	2B3-101|Glutathione Pegylated Liposomal Doxorubicin Hydrochloride Formulation 2B3-101|
Autologous CD30CAR-CD28-CD3zeta-expressing T-Lymphocytes	ATLCAR.CD30-CD28zeta Cells|CAR-CD30-28zeta-specific Autologous T-cells|Anti-CD30-CAR/CD28z Retroviral Vector-transduced Autologous T-Cells|Autologous CAR-CD19-CD28-zeta-transduced T-lymphocytes|ATLCAR.CD30 Cells|Autologous CD30CAR-CD28-CD3zeta-expressing T-Lymphocytes|SFG.CAR.CD30 Autologous T-lymphocytes|ATL-expressing CD30-CAR-CD28zeta|
Dabrafenib Mesylate	GSK2118436B|DABRAFENIB MESYLATE|Tafinlar|GSK2118436 Methane Sulfonate Salt|Dabrafenib Methanesulfonate|Dabrafenib Mesylate|
Glesatinib	MG90265|MGCD265|GLESATINIB|TKI MGCD265|MG90265X|Glesatinib|
MEK Inhibitor CI-1040	2-(2-Chloro-4-iodophenylamino)-N-cyclopropylmethoxy-3,4-difluorobenzamide|PD 184352/CI-1040|CI-1040|PD-184352|MEK Inhibitor CI-1040|
B-Raf/VEGFR-2 Inhibitor RAF265	B-Raf/VEGFR-2 Inhibitor RAF265|RAF-265|CHIR-265|RAF265|
Larotrectinib	LAROTRECTINIB|LOXO-101|Larotrectinib|1-Pyrrolidinecarboxamide, N-(5-((2R)-2-(2,5-difluorophenyl)-1-pyrrolidinyl)pyrazolo(1,5-a)pyrimidin-3-yl)-3-hydroxy-, (3S)-|LOXO 101|ARRY 470|3S)-N-(5-((2R)-2-(2,5-Difluorophenyl)pyrrolidin-1-yl)pyrazolo(1,5-a)pyrimidin-3-yl)-3-hydroxypyrrolidine- 1-carboxamide|
Albumin-binding Cisplatin Prodrug BTP-114	Albumin-binding Cisplatin Prodrug BTP-114|Prodrug BTP 114|Albumin-conjugating Platinum-prodrug BTP-114|Cisplatin/Maleimide-based Complex BTP-114|BTP 114|BTP-114|Platinum-Prodrug BTP-114|Cisplatin Prodrug BTP-114|
Trastuzumab Duocarmazine	SYD985|Trastuzumab Duocarmazine|Antibody-drug Conjugate SYD985|vic-Trastuzumab Duocarmazine|ADC SYD985|TRASTUZUMAB DUOCARMAZINE|Trastuzumab-drug Conjugate SYD985|Trastuzumab VC-seco-DUBA|
CSF-1R Inhibitor BLZ945	4-[2((1R,2R)-2-Hydroxycyclohexylamino)-benzothiazol-6-yloxyl]-pyridine- 2-carboxylic Acid Methylamide|BLZ945|BLZ 945|CSF-1R Inhibitor BLZ945|BLZ-945|4-((2-(((1R,2R)-2-hydroxycyclohexyl)amino)benzo[d]thiazol-6-yl)oxy)-N-methylpicolinamide|
Paclitaxel Ceribate	PACLITAXEL CERIBATE|Paclitaxel Ceribate|7beta-((2RS)-2,3-dihydroxypropoxycarbonyloxy)-1-hydroxy-9-oxo-5beta,20-epoxytax-11-ene-2alpha,4,10beta,13alpha-tetrayl 4,10-diacetate 2-benzoate 13-((2R,3S)-3-benzamido-2-hydroxy-3-phenylpropanoate)|
Aziridinylbenzoquinone RH1	Aziridinylbenzoquinone RH1|2,5-Diaziridinyl-3-(hydroxymethyl)-6-methyl-1,4-benzoquinone|RH1|
UAE Inhibitor TAK-243	UAE Inhibitor TAK-243|MLN7243|AOB87172|TAK-243|UAE Inhibitor  TAK-243|
Cediranib Maleate	CEDIRANIB MALEATE|Quinazoline, 4-((4-fluoro-2-methyl-1H-indol-5-yl)oxy)-6-methoxy-7-(3-(1-pyrrolidinyl)propoxy)-|Recentin|cediranib maleate|AZD2171|AZD2171 Maleate|Cediranib Maleate|
BH3 Mimetic ABT-737	ABT-737|Benzamide, 4-(4-((4'-Chloro(1,1'-biphenyl)-2-yl)methyl)-1-piperazinyl)-n-((4-(((1r)-3-(dimethylamino)-1-((phenylthio)methyl)propyl)amino)-3-nitrophenyl)sulfonyl)-|BH3 Mimetic ABT-737|
Gilteritinib	6-Ethyl-3-((3-methoxy-4-(4-(4-methylpiperazin-1-yl)piperidin-1-yl)phenyl)amino)-5-((tetrahydro-2H-pyran-4-yl)amino)pyrazine-2-carboxamide|GILTERITINIB|ASP2215|ASP-2215|Gilteritinib|
Fulvestrant	ICI 182,780|ICI 182780|FULVESTRANT|Faslodex(ICI 182,780)|ZD9238|fulvestrant|7a-[9-[(4,4,5,5,5,-Pentafluoropentyl)sulphinyl]nonyl]-estra-1,3,5(10)-triene-3,17b-diol|Faslodex|Fulvestrant|
Bevacizumab	Bevacizumab Biosimilar HD204|Anti-VEGF rhuMAb|rhuMab-VEGF|Anti-VEGF Humanized Monoclonal Antibody|Bevacizumab Biosimilar FKB238|Bevacizumab Biosimilar SCT501|SCT501|Bevacizumab|Bevacizumab Biosimilar LY01008|bevacizumab|Bevacizumab awwb|Bevacizumab Biosimilar BEVZ92|Bevacizumab Biosimilar HLX04|Bevacizumab Biosimilar CT-P16|Bevacizumab Biosimilar QL 1101|BP102|Bevacizumab Biosimilar BI 695502|BEVACIZUMAB|Bevacizumab Biosimilar IBI305|Bevacizumab Biosimilar RPH-001|Bevacizumab Biosimilar MIL60|HD204|Avastin|Immunoglobulin G1 (Human-Mouse Monoclonal rhuMab-VEGF Gamma-Chain Anti-Human Vascular Endothelial Growth Factor), Disulfide With Human-Mouse Monoclonal rhuMab-VEGF Light Chain, Dimer|Bevacizumab Biosimilar CBT 124|Bevacizumab Biosimilar GB-222|BP102 Biosimilar|Anti-VEGF|Recombinant Humanized Anti-VEGF Monoclonal Antibody|
Ranolazine	RANOLAZINE|Ranexa|1-Piperazineacetamide, N-(2,6-dimethylphenyl)-4-(2-hydroxy- 3-(2-methoxyphenoxy)propyl)-|Ranolazine|
Cobimetinib	Cotellic|Cobimetinib|XL518|COBIMETINIB|GDC-0973|MEK Inhibitor GDC-0973|
Pertuzumab	Monoclonal Antibody 2C4|Perjeta|2C4|Pertuzumab|RO4368451|2C4 Antibody|rhuMAb2C4|Immunoglobulin G1, Anti-(Human V (Receptor)) (Human-Mouse Monoclonal 2C4 Heavy Chain), Disulfide with Human-Mouse Monoclonal 2C4 Kappa-Chain, Dimer|pertuzumab|MoAb 2C4|Omnitarg|PERTUZUMAB|
Oraxol	Paclitaxel/HM30181A|Oraxol|Paclitaxel-HM30181 Methanesulfonate Monohydrate|
Zebularine	Pyrimidin-2-one beta-Ribofuranoside|Zebularine|2-Pyrimidone-1-beta-D-riboside|1-beta-D-Ribofuranosyl-2(1H)-pyrimidinone|
Lapatinib	LAPATINIB|GW572016|lapatinib|GW 2016|GW2016|GSK572016|Lapatinib|
Gefitinib	GEFITINIB|Iressa|N-(3-chloro-4-fluorophenyl)-7-methoxy-6-[3-(4-morpholin) propoxy]-4-quinazolinamine|ZD 1839|gefitinib|Gefitinib|4-(3'-Chloro-4'-fluoroanilino)-7-methoxy-6-(3-morpholinopropoxy)quinazoline|ZD1839|
Mitoxantrone	Mitozantrone|mitoxantrone|MITOXANTRONE|Dihydroxyanthracenedione|1,3-Dihydroxy-5,8-bis[[2-[(2-hydroxyethyl)amino]ethyl]amino]-9, 10-anthracenedione|Mitoxantrone|1,4-Dihydroxy-5,8-bis[[2-[(2-hydroxyethyl)amino]ethyl]amino]-9, 10-anthroquinone|
Everolimus	RAD 001|everolimus|EVEROLIMUS|(1R,9S,12S,15R,16E,18R,19R,21R,23S,24E,26E,28E,30S,32S,35R)-1,18-Dihydroxy-12-((1R)-2-((1S,3R,4R)-4-(2-hydroxyethoxy)-3-methoxycyclohexyl)-1-methylethyl)-19,30-dimethoxy-15,17,21,23,29,35-hexamethyl-11,36-dioxa-4-azatricyclo(30.3.1.04,9)hexatriaconta-16,24,26,28-tetraene-2,3,10,14,20-pentaone|42-O-(2-Hydroxy)ethyl Rapamycin|Zortress|Certican|Votubia|Afinitor|RAD001|Everolimus|
Tretinoin	TRETINOIN|Airol|Tretinoinum|Cordes Vas|Eudyna|Ro 5488|Trans Vitamin A Acid|Retin-A-Micro|tretinoin|Epi-Aberel|trans-Retinoic Acid|Renova|all-trans-Retinoic acid|all trans-Retinoic acid|Dermairol|Tretinoin|trans-Retinoic acid|Vitamin A acid, all-trans-|all-trans retinoic acid|Retinoic Acid|All-trans Retinoic Acid|Retin-A MICRO|(All-E)-3,7-Dimethyl-9-(2,6,6-trimethyl-1-cyclohexen-1-yl)-2,4,6,8-nonatetraenoic Acid|Aberel|Avita|Vitamin A acid|Stieva-A Forte|Trans Retinoic Acid|Vitinoin|All-trans Vitamin A Acid|vitamin A acid|retinoic acid|beta-Retinoic Acid|Retin-A|Retisol-A|Vitamin A Acid|all-trans-Vitamin A acid|2,4,6,8-Nonatetraenoic acid, 3, 7-dimethyl-9-(2,6,6-trimethyl-1-cyclohexen-1-yl)-, (all-E)-|Stieva-A|Vesanoid|ATRA|Aknoten|
Alvocidib Prodrug TP-1287	TP-1287|Alvocidib Prodrug TP-1287|Alvocidib Phosphate TP-1287|TP1287|Alvocidib Phosphate|TP 1287|
Bortezomib	PS341|LDP 341|Bortezomib|[(1R)-3-Methyl-1-[[(2S)-1-oxo-3-phenyl-2-[(pyrazinylcarbonyl)amino]propyl]amino]butyl]boronic Acid|velcade|MLN341|BORTEZOMIB|PS-341|bortezomib|Velcade|
Pegylated Liposomal Irinotecan	IHL-305|Pegylated Liposomal Irinotecan|
Erdafitinib	1,2-Ethanediamine, N1-(3,5-dimethoxyphenyl)-N2-(1-methylethyl)-N1-(3-(1-methyl-1H-pyrazol-4-yl)-6-quinoxalinyl)-|JNJ-42756493|Balversa|Erdafitinib|ERDAFITINIB|
Palbociclib	6-Acetyl-8-cyclopentyl-5-methyl-2-((5-(piperazin-1-yl)pyridin-2-yl)amino)-8h-pyrido(2,3-d)pyrimidin-7-one|PALBOCICLIB|PD 991|Palbociclib|PD-0332991|Pyrido(2,3-d)pyrimidin-7(8H)-one, 6-Acetyl-8-cyclopentyl-5-methyl-2-((5-(1-piperazinyl)-2-pyridinyl)amino)-|PD 332991|PD 0332991|Ibrance|
Selinexor	Selective Inhibitor of Nuclear Export KPT-330|Selinexor|2-Propenoic Acid, 3-(3-(3,5-Bis(trifluoromethyl)phenyl)-1H-1,2,4-triazol-1-yl)-, 2-(2-Pyrazinyl)hydrazide, (2Z)-|CRM1 Nuclear Export Inhibitor KPT-330|KPT-330|SINE KPT-330|SELINEXOR|Xpovio|ATG-010|
Submicron Particle Paclitaxel Sterile Suspension	NanoPac|Sterile Nanoparticle-based Paclitaxel Suspension|Submicron Particle Paclitaxel Formulation|Submicron Particle Paclitaxel Sterile Suspension|Submicron Particle Paclitaxel|Sterile Nanoparticulate Paclitaxel|
2-Hydroxyoleic Acid	Minerval|2-OHOA|2OHOA|2-Hydroxyoleic Acid|
Exemestane	exemestane|EXEMESTANE|6-Methyleneandrosta-1,4-diene-3,17-dione|FCE-24304|Aromasin|Exemestane|
Vector-peptide Conjugated Paclitaxel	Taxol-Angiopep Conjugate|Vector-peptide Conjugated Paclitaxel|
Ponatinib	PONATINIB|AP-24534|AP24534|Benzamide, 3-(2-Imidazo(1,2-B)Pyridazin-3-Ylethynyl)-4-Methyl-N-(4-((4-Methyl-1- Piperazinyl)Methyl)-3-(Trifluoromethyl)Phenyl)|Ponatinib|
Ethinyl Estradiol	Ethinylestradiol|Estinyl|(17alpha)-19-Norpregna-1,3,5(10)-trien-20-yne-3,17-diol|Orestralyn|Eticylol|Diogyn-E|Ethinyl Estradiol|Feminone|Inestra|ETHINYL ESTRADIOL|Lynoral|Diogyn E|Ethinoral|
Nutlin-3a	Nutlin-3a|
Curcumin/Doxorubicin-encapsulating Nanoparticle IMX-110	Stat3/NF-kB/poly-tyrosine Kinase Inhibitor/Doxorubicin-encapsulating Nanoparticle IMX-110|IMX 110|IMX110|Curcumin/Doxorubicin-encapsulating Nanoparticle IMX-110|IMX-110|
Cold Contaminant-free Iobenguane I-131	Cold Contaminant-free I 131-MIBG|Ultratrace MIBG|Azedra|Cold Contaminant-free Iobenguane I 131|Ultratrace Iodine I 131 Metaiodobenzylguanidine|Cold Contaminant-free Iobenguane I-131|
Polymer-encapsulated Luteolin Nanoparticle	Nanoluteolin|Nanoparticle-based Luteolin|3',4',5,7-Tetrahydroxyflavone-encapsulated Polymer Nanoparticles|Nano-luteolin|Polymer-encapsulated Luteolin Nanoparticle|
Abemaciclib	Abemaciclib|LY-2835219|2-Pyrimidinamine, N-(5-((4-ethyl-1-piperazinyl)methyl)-2-pyridinyl)-5-fluoro-4-(4-fluoro-2-methyl-1-(1-methylethyl)-1H-benzimidazol-6-yl)|ABEMACICLIB|LY2835219|Verzenio|
Aurora Kinase Inhibitor MLN8054	Aurora Kinase Inhibitor MLN8054|MLN 8054|MLN8054|MLN-8054|Benzoic Acid, 4-((9-Chloro-7-(2,6-difluorophenyl)-5H-pyrimido(5,4-d)(2)benzazepin-2-yl)amino)-|
Tanespimycin	KOS-953|17-Demethoxy-17-(2-propenylamino)geldanamycin|Tanespimycin|17-(Allylamino)-17-demethoxygeldanamycin|17-N-allylamino-17-demethoxygeldanamycin|17-Allylamino-17-demethoxygeldanamycin|Geldanamycin, 17-allylamino-17-demethoxy-|17-AAG|17-N-allylamino-17-demethoxy geldanamycin|TANESPIMYCIN|tanespimycin|
Alvocidib Hydrochloride	(-)-2-(2-Chlorophenyl)-5,7-dihydroxy-8-[(3R,4S)-3-hydroxy-1-methyl-4-piperidinyl]-4H-1-benzopyran-4-one Hydrochloride|ALVOCIDIB HYDROCHLORIDE|Alvocidib Hydrochloride|L-868275|HL-275|4H-1-Benzopyran-4-one, 2-(2-chlorophenyl)-5, 7-dihydroxy-8-(3-hydroxy-1-methyl-4-piperidinyl)-, hydrochloride, (-)-cis-|HMR 1275|MDL-107826A|L-86-8275|MDL 107,826A|Flavopiridol Hydrochloride|
Erlotinib	Erlotinib|erlotinib|ERLOTINIB|
Dinaciclib	2-Piperidineethanol, 1-[3-ethyl-7-[[(1-oxido-3-pyridinyl)methyl]amino]pyrazolo[1,5- a]pyrimidin-5-yl]-, (2S)-|dinaciclib|Dinaciclib|CDK inhibitor SCH 727965|CDK Inhibitor SCH 727965|SCH 727965|DINACICLIB|MK-7965|
Extended Release Metformin Hydrochloride	Glucophage XR|ER Metformin Hydrochloride|Metformin Hydrochloride Extended Release|Extended Release Metformin Hydrochloride|Extended-release Metformin Hydrochloride|Glumetza|
Carboplatin	platinum, diammine(1,1-cyclobutanedicarboxylato(2-))-, (SP-4-2)|Paraplat|CARBOPLATIN|Novoplatinum|Ribocarbo|cis-diammine(cyclobutanedicarboxylato)platinum II|JM-8|1,1-cyclobutanedicarboxylic acid platinum complex|Carboplatinum|Nealorin|(SP-4-2)-diammine[1,1-cyclobutanedicarboxylato(2--)-O,O']platinum|cis-diammine(1,1-cyclobutanedicarboxylato) platinum(II)|Carboplatin Hexal|Carbosol|Ercar|Cis-Diammine(cyclobutane-1,1-dicarboxylato)platinum|Blastocarb|CBDCA|Paraplatin|carboplatin|Carboplatin|Paraplatine|Paraplatin AQ|Carboplatino|Carbosin|Displata|Carboplat|Carbotec|Platinwas|
Anti-FRA/Eribulin Antibody-drug Conjugate MORAb-202	MORAb 202|MORAb202|Anti-FRA/Eribulin Antibody-drug Conjugate MORAb-202|Anti-FRA ADC MORAb-202|ADC MORAb-202|Anti-FRA/Eribulin ADC MORAb-202|MORAb-202|
Panobinostat Nanoparticle Formulation MTX110	MTX-110|MTX110|Panobinostat Nanoparticle Formulation MTX110|MTX 110|
